# General Processing Errors
# Unknown or uncategorized errors
# Format: [timestamp] | URL: <url> | Message: <msg> | Error: <code>
[2025-06-30T22:35:08.072Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://eddenyalive.com | Message: Navigating frame was detached
[2025-06-30T22:35:08.082Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://92dp.com | Message: Navigating frame was detached
[2025-06-30T22:35:55.684Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://minnanokaigo.com | Message: Navigating frame was detached
[2025-06-30T22:36:21.434Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://urbanity.ir | Message: Navigating frame was detached
[2025-06-30T22:36:45.977Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://114chn.com | Message: Navigating frame was detached
[2025-06-30T22:37:08.311Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://gamesflood.com | Message: Navigating frame was detached
[2025-06-30T22:37:12.884Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://offrebourse.com | Message: Navigating frame was detached
[2025-06-30T22:38:51.594Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://der-betze-brennt.de | Message: net::ERR_ABORTED at https://der-betze-brennt.de
[2025-06-30T22:39:00.977Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://ero-mu.com | Message: Navigating frame was detached
[2025-06-30T22:39:34.036Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://orikaeshi.com | Message: Navigating frame was detached
[2025-06-30T22:40:06.662Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://chinacdc.cn | Message: Navigating frame was detached
[2025-06-30T22:40:54.874Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://greenroom.fr | Message: Navigating frame was detached
[2025-06-30T22:41:00.498Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://films-torrent.ru | Message: Navigating frame was detached
[2025-06-30T22:41:14.762Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://chinayk.com | Message: Navigating frame was detached
[2025-06-30T22:41:25.030Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://pj678.com | Message: Navigating frame was detached
[2025-06-30T22:41:34.552Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://satoshigarden.org | Message: Redirected to problematic domain: www.godaddy.com
[2025-06-30T22:42:09.160Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://mad-system.net | Message: Navigating frame was detached
[2025-06-30T22:42:26.715Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://adsopt.im | Message: Navigating frame was detached
[2025-06-30T22:42:36.316Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://instreet.cn | Message: net::ERR_SSL_VERSION_OR_CIPHER_MISMATCH at https://instreet.cn
[2025-06-30T22:42:38.698Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://lvrach.ru | Message: Navigating frame was detached
[2025-06-30T22:42:55.025Z] | Category: unknown/unclassified | Phase: data_extraction | Code: UNKNOWN_ERROR | URL: https://7797.net | Message: Navigating frame was detached
